id,activity_name,activity_type,materials_needed,time_required,age_group,difficulty_level,instructions
86,Skydiving Experience,Outdoor,"Skydiving gear, Instructor",2 hours,Teens,Challenging,"Undergo a tandem skydive with an instructor, and experience the thrill of freefalling before parachuting to the ground."
87,Soap Making,Indoor,"Soap base, Molds, Fragrances",2 hours,Teens,Moderate,"Melt soap base, pour into molds, add fragrances, and let the soap harden before use."
88,Stargazing with Apps,Outdoor,Smartphone with stargazing app,2 hours,Teens,Easy,"Use a stargazing app to identify stars and constellations, and enjoy learning about the night sky using a smartphone."
89,Storytelling Circle,Indoor,"Books, Story prompts",1.5 hours,All ages,Easy,"Gather in a circle to tell stories or read from books, using prompts to inspire creativity and imagination."
90,Tennis Match,Outdoor,"Tennis rackets, Tennis balls",1.5 hours,Teens,Moderate,"Play a tennis match with a partner, use tennis rackets and balls, and follow the rules of the game."
91,Terrarium Building,Indoor,"Glass jars, Plants, Soil",1.5 hours,Teens,Moderate,"Create a miniature garden in a glass jar using plants and soil, and arrange it for a decorative piece."
92,Virtual Museum Tour,Indoor,Computer or tablet,1.5 hours,All ages,Easy,"Take a virtual tour of a museum using a computer or tablet, and explore exhibits and galleries from home."
93,Watercolor Painting,Indoor,"Watercolor paints, Paper",1.5 hours,Teens,Moderate,"Use watercolor paints to create artwork on paper, experimenting with techniques and color blending."
94,Wine Tasting,Indoor,"Wine samples, Tasting notes",2 hours,Teens,Moderate,"Sample different wines, note flavors and characteristics, and discuss preferences with others."
95,Wood Carving,Outdoor,"Wood blocks, Carving tools",2 hours,Teens,Challenging,"Carve designs or figures from wood blocks using carving tools, and create detailed wooden sculptures."
96,Ziplining,Outdoor,"Safety harness, Helmet",2 hours,Teens,Challenging,"Use a safety harness and helmet to zipline across a course, enjoying the thrill and speed of the experience."
97,Acrobatics Workshop,Indoor,"Gymnastics mat, Safety equipment",2 hours,Teens,Challenging,"Practice acrobatics and gymnastics routines on a mat with safety equipment, and work on balance and flexibility."
98,Aquarium Visit,Outdoor,"Tickets, Comfortable shoes",2 hours,All ages,Easy,"Visit an aquarium, explore different aquatic exhibits, and learn about marine life through interactive displays."
99,Bird Feeder Craft,Outdoor,"Bird feeder kit, Birdseed",1.5 hours,School-aged,Moderate,"Assemble a bird feeder kit, fill it with birdseed, and hang it in a suitable outdoor location to attract local birds."
100,Bread Making,Indoor,"Flour, Yeast, Baking equipment",2 hours,Teens,Moderate,"Prepare bread dough using flour and yeast, let it rise, bake it, and enjoy freshly baked bread at home."
101,Bubble Blowing,Outdoor,"Bubble solution, Bubble wands",1 hour,Toddlers,Easy,"Use bubble solution and wands to blow bubbles, and enjoy watching them float and pop. Perfect for outdoor play."
102,Camping Storytelling,Outdoor,"Campfire setup, Story prompts",1.5 hours,All ages,Easy,"Gather around a campfire, use story prompts to inspire storytelling, and enjoy sharing tales and s'mores."
103,Claymation,Indoor,"Modeling clay, Camera",2 hours,Teens,Moderate,"Create clay figures and animate them using stop-motion techniques, and produce a short claymation film."
104,Coloring Book,Indoor,"Coloring books, Crayons",1 hour,Toddlers,Easy,"Use coloring books and crayons to color in designs, encouraging creativity and motor skills development."
105,Escape Room Challenge,Indoor,"Escape room kit, Puzzles",2 hours,Teens,Challenging,Solve puzzles and riddles to escape from a themed room within a set time limit. Follow clues to unlock the exit.
106,Flower Pressing,Indoor,"Flower specimens, Pressing kit",1.5 hours,Teens,Moderate,"Press flowers using a pressing kit, and create decorative items like bookmarks or framed art with the pressed flowers."
107,Game Show Night,Indoor,"Game show equipment, Prizes",2 hours,All ages,Easy,"Organize a game show with quiz questions or challenges, and award prizes to winners for a fun, competitive evening."
108,Glass Painting,Indoor,"Glass jars, Paints, Brushes",2 hours,Teens,Moderate,"Paint designs on glass jars using specialized paints, and let them dry to create decorative or functional pieces."
109,Guitar Jam Session,Indoor,"Guitar, Music sheets",1.5 hours,Teens,Moderate,"Play guitar with friends or family, follow music sheets or improvise, and enjoy a collaborative jam session."
110,Handmade Greeting Cards,Indoor,"Card stock, Markers, Stickers",1.5 hours,Teens,Moderate,"Design and decorate greeting cards using card stock, markers, and stickers, and personalize them for different occasions."
111,Home Brewing,Indoor,"Brewing equipment, Ingredients",2 hours,Teens,Moderate,"Use brewing equipment and ingredients to make homemade beverages like beer or kombucha, and follow fermentation processes."
112,Indoor Rock Climbing,Indoor,"Climbing shoes, Harness",2 hours,Teens,Challenging,"Climb indoor rock walls with climbing shoes and harnesses, and follow climbing routes of varying difficulty levels."
113,Jigsaw Puzzle Race,Indoor,Jigsaw puzzles,1.5 hours,School-aged,Moderate,"Race to complete jigsaw puzzles as quickly as possible, and challenge friends or family to see who finishes first."
114,Lawn Games,Outdoor,"Lawn games set, Space",1.5 hours,All ages,Easy,"Set up lawn games like cornhole, bocce, or horseshoes, and enjoy outdoor fun and friendly competition."
115,Magic Lantern Show,Indoor,"Magic lantern, Slide images",1.5 hours,All ages,Easy,"Use a magic lantern to project historical images or animations, and enjoy a nostalgic and educational visual experience."
116,Marathon Training,Outdoor,"Running gear, Training plan",2 hours,Teens,Moderate,"Follow a structured training plan for running a marathon, use proper gear, and build endurance through regular runs."
117,Martial Arts Class,Indoor,"Martial arts uniform, Mats",1.5 hours,Teens,Moderate,"Practice martial arts techniques and forms on mats, and learn self-defense moves in a structured class setting."
118,Music Composition,Indoor,"Music software, Instruments",2 hours,Teens,Moderate,"Compose original music using software and instruments, and create melodies, harmonies, and arrangements."
119,Origami for Beginners,Indoor,"Origami paper, Instruction guide",1.5 hours,School-aged,Easy,"Follow a guide to create simple origami figures, and learn basic folding techniques and paper art."
120,Outdoor Yoga Retreat,Outdoor,"Yoga mats, Nature setting",2 hours,All ages,Moderate,"Practice yoga in a natural outdoor setting, using mats for comfort, and focus on relaxation and connection with nature."
121,Pet Adoption Event,Outdoor,"Adoption information, Pet care supplies",2 hours,All ages,Easy,"Attend an event featuring pets available for adoption, learn about different animals, and potentially adopt a new pet."
122,Plant Propagation,Indoor,"Plant cuttings, Soil, Pots",1.5 hours,Teens,Moderate,"Propagate plants using cuttings, soil, and pots, and learn how to grow new plants from existing ones."
123,Puzzle Hunt,Outdoor,"Puzzle clues, Map",2 hours,Teens,Moderate,"Follow clues and solve puzzles scattered around a location, and enjoy a treasure hunt-style adventure."
124,Rally Car Racing,Outdoor,"Rally cars, Safety gear",2 hours,Teens,Challenging,"Drive rally cars on a designated course, and experience high-speed racing with proper safety gear."
125,Road Trip Planning,Indoor,"Maps, Travel guides",1.5 hours,All ages,Easy,"Plan a road trip itinerary using maps and travel guides, and discuss destinations, routes, and activities."
126,Rock Band Performance,Indoor,"Instruments, Sound equipment",2 hours,Teens,Moderate,"Perform as a rock band with various instruments and sound equipment, and enjoy a live music experience."
127,Sculpture Garden Visit,Outdoor,"Tickets, Comfortable shoes",2 hours,All ages,Easy,"Visit a garden featuring outdoor sculptures, and enjoy the art installations and landscaped surroundings."
128,Soap Carving,Indoor,"Soap bars, Carving tools",1.5 hours,Teens,Moderate,"Carve shapes and designs from bars of soap using carving tools, and create detailed soap sculptures."
129,Space Shuttle Simulation,Indoor,"VR headset, Simulation software",1.5 hours,Teens,Moderate,"Use a VR headset and simulation software to experience a space shuttle mission, and explore virtual space environments."
130,Spider Web Design,Indoor,"String, Cardboard",1 hour,School-aged,Easy,"Create spider web designs using string on cardboard, and explore patterns and shapes in a fun craft activity."
131,Star Wars-Themed Party,Indoor,"Star Wars decorations, Costumes",2 hours,All ages,Easy,"Host a Star Wars-themed party with decorations and costumes, and enjoy themed activities and games."
132,Sunset Photography,Outdoor,"Camera, Tripod",1.5 hours,Teens,Moderate,"Use a camera and tripod to capture the beauty of a sunset, focusing on composition and lighting techniques."
133,Tea Brewing Workshop,Indoor,"Tea leaves, Teapots",1.5 hours,Teens,Moderate,"Learn how to brew different types of tea using leaves and teapots, and enjoy tasting various tea blends."
134,Treasure Map Creation,Indoor,"Paper, Markers",1.5 hours,School-aged,Easy,"Create a treasure map using paper and markers, and design an adventure with hidden treasures and clues."
135,Virtual Escape Room,Indoor,"Computer, Escape room software",2 hours,Teens,Moderate,"Use computer software to solve puzzles and escape from a virtual room, and collaborate with others to complete the challenge."
136,Watercolor Resist Art,Indoor,"Watercolor paints, Wax crayons",1.5 hours,Teens,Moderate,"Use wax crayons to create designs on paper, paint over them with watercolor, and reveal the resist art effect."
137,Woodworking Workshop,Indoor,"Wood, Tools",2 hours,Teens,Moderate,"Use woodworking tools to create a project from wood, such as a small piece of furniture or a decorative item."
138,World Culture Festival,Outdoor,"Festival tickets, Cultural items",2 hours,All ages,Easy,"Attend a festival celebrating different world cultures, enjoy food, performances, and cultural displays."
139,Zumba Class,Indoor,"Music, Dance floor",1.5 hours,Teens,Moderate,"Participate in a Zumba class with energetic music and dance routines, and enjoy a fun workout session."
140,3D Printing Workshop,Indoor,"3D printer, Design files",2 hours,Teens,Moderate,"Use a 3D printer and design files to create custom 3D printed objects, and learn about the printing process."
141,Animal Tracking,Outdoor,"Field guide, Binoculars",2 hours,Teens,Moderate,Use a field guide and binoculars to track and identify animal tracks and signs in a natural environment.
142,Astronomy Workshop,Indoor,"Telescopes, Star maps",2 hours,Teens,Moderate,"Learn about astronomy using telescopes and star maps, and explore the night sky through guided observations."
143,Baking Bread Workshop,Indoor,"Bread ingredients, Oven",2 hours,Teens,Moderate,"Prepare and bake different types of bread, following recipes and techniques for making artisanal loaves."
144,Beekeeping Experience,Outdoor,"Beekeeping suit, Hive tools",2 hours,Teens,Moderate,"Learn about beekeeping, inspect a hive with the help of an instructor, and understand the process of honey production."
145,Bike Repair Clinic,Indoor,"Bike tools, Repair kit",1.5 hours,Teens,Moderate,"Learn how to repair and maintain bikes using tools and a repair kit, and practice fixing common bike issues."
146,Botanical Garden Tour,Outdoor,"Tickets, Comfortable shoes",2 hours,All ages,Easy,"Explore a botanical garden, learn about different plant species, and enjoy the landscaped gardens and exhibits."
147,Candle Dipping,Indoor,"Wax, Wicks, Dipping pots",1.5 hours,Teens,Moderate,"Dip wicks into melted wax to create candles, layering the wax to build up color and texture."
148,Cheese Tasting,Indoor,"Cheese samples, Tasting notes",1.5 hours,Teens,Easy,"Sample a variety of cheeses, use tasting notes to describe flavors and textures, and enjoy a culinary experience."
149,Chocolate Making,Indoor,"Chocolate ingredients, Molds",2 hours,Teens,Moderate,"Melt chocolate and pour it into molds to create custom chocolates, and add flavorings or decorations as desired."
150,Creative Writing Workshop,Indoor,"Writing prompts, Paper, Pens",2 hours,Teens,Moderate,"Use writing prompts to generate story ideas, and practice creative writing techniques in a workshop setting."
151,Dance Flash Mob,Outdoor,"Dance routine, Music",2 hours,Teens,Moderate,"Rehearse and perform a choreographed dance routine in a public space, and engage with an audience in a flash mob event."
152,Digital Art Creation,Indoor,"Drawing tablet, Art software",2 hours,Teens,Moderate,"Use a drawing tablet and art software to create digital artworks, exploring different tools and techniques."
153,Dinosaur Dig,Outdoor,"Dig tools, Fossil replicas",2 hours,Teens,Moderate,"Simulate a dinosaur dig using tools to uncover fossil replicas, and learn about paleontology and prehistoric creatures."
154,DIY Jewelry Making,Indoor,"Beads, Wire, Tools",2 hours,Teens,Moderate,"Create custom jewelry pieces using beads, wire, and jewelry-making tools, and design necklaces, bracelets, or earrings."
155,Drone Photography,Outdoor,"Drone, Camera",2 hours,Teens,Moderate,"Use a drone equipped with a camera to capture aerial photographs, and explore different perspectives and shots."
156,Eagle Watching,Outdoor,"Binoculars, Field guide",2 hours,Teens,Moderate,"Observe eagles in their natural habitat using binoculars and a field guide, and learn about their behaviors and characteristics."
157,Edible Garden Planting,Outdoor,"Seeds, Soil, Pots",1.5 hours,School-aged,Easy,"Plant seeds in pots or garden beds, and care for them as they grow into edible plants, such as herbs or vegetables."
158,Fire Dancing,Outdoor,"Fire poi, Safety equipment",2 hours,Teens,Challenging,"Practice fire dancing with fire poi and safety equipment, and perform fire art while following safety protocols."
159,Fishing in a Pond,Outdoor,"Fishing gear, Bait",2 hours,Teens,Moderate,"Use fishing gear and bait to catch fish in a pond, and learn about fishing techniques and local fish species."
160,Forest Foraging,Outdoor,"Foraging guide, Basket",2 hours,Teens,Moderate,"Use a foraging guide to identify and collect edible plants, mushrooms, or herbs in a forest, and learn about wild food sources."
161,Glass Blowing,Indoor,"Glass rods, Furnace",3 hours,Teens,Challenging,"Create glass art by melting and shaping glass rods in a furnace, and craft intricate glass pieces with expert guidance."
162,Gourmet Cooking Class,Indoor,"Cooking ingredients, Utensils",2 hours,Teens,Moderate,"Learn to prepare gourmet dishes using high-quality ingredients and cooking techniques, and enjoy a meal together."
163,Hiking Trail Exploration,Outdoor,"Hiking gear, Trail map",2 hours,Teens,Moderate,"Explore a hiking trail using gear and a trail map, and enjoy the natural scenery and physical activity."
164,Ice Fishing,Outdoor,"Fishing gear, Ice auger",3 hours,Teens,Moderate,"Drill holes in ice, use fishing gear to catch fish, and enjoy a winter fishing experience on a frozen lake."
165,Indoor Skydiving,Indoor,"Wind tunnel, Flight suit",1.5 hours,Teens,Moderate,"Experience freefall in a wind tunnel with a flight suit, and enjoy the sensation of skydiving indoors."
166,Japanese Tea Ceremony,Indoor,"Tea set, Green tea",1.5 hours,Teens,Moderate,"Participate in a traditional Japanese tea ceremony, learning about tea preparation and the cultural significance of the ceremony."
167,Kayaking on a River,Outdoor,"Kayak, Paddle, Life jacket",2 hours,Teens,Moderate,"Paddle a kayak on a river, follow safety guidelines, and enjoy exploring the waterway."
